frame,ped_height,sim_time,walker,ego,e_veloc,distance,walker_vel_ms,ego_vel_ms,ttc_less_than_200,walker_vel_mms,ego_vel_mms,TCC,TCC_threshold,w_location_x,w_location_y,w_location_z,e_location_x,e_location_y,e_location_z,w_rotation_pitch,w_rotation_yaw,w_rotation_roll,e_rotation_pitch,e_rotation_yaw,e_rotation_roll
0,1.8600000143051147,1,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461847,46.55081558227539,0.0,12.628290749136177,False,0.0,0.012628290749136177,3690.0,500,106.63703155517578,13.049999237060547,1.1038999557495117,60.15425491333008,7.799999713897705,0.0975123941898346,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.007233169861137867,0.0,9.644842293710099e-07
1,1.8600000143051147,2,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461837,46.348812103271484,0.0642394945025444,12.628288091390225,False,6.42394945025444e-05,0.012628288091390225,3650.0,500,106.63703155517578,13.048972129821777,1.1038999557495117,60.35628890991211,7.799999713897705,0.09689273685216904,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.006987283006310463,0.0,1.8348458752370789e-06
2,1.8600000143051147,3,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461827,46.146793365478516,0.1284789890050888,12.6282852919977,False,0.0001284789890050888,0.0126282852919977,3620.0,500,106.63703155517578,13.046916007995605,1.1038999557495117,60.55832290649414,7.799999713897705,0.09627734869718552,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.0066867549903690815,0.0,2.896157184295589e-06
3,1.8600000143051147,4,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461817,45.94475555419922,0.1927184760570526,12.628282467591847,False,0.00019271847605705262,0.012628282467591847,3580.0,500,106.63703155517578,13.043832778930664,1.1038999557495117,60.76036071777344,7.799999713897705,0.0956663116812706,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.006345245521515608,0.0,4.156161139690084e-06
4,1.8600000143051147,5,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461807,45.742706298828125,0.2569579780101776,12.62827964786007,False,0.0002569579780101776,0.01262827964786007,3550.0,500,106.63703155517578,13.039721488952637,1.1038999557495117,60.96239471435547,7.799999713897705,0.09505988657474518,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.005955924745649099,0.0,5.556539235840319e-06
5,1.8600000143051147,6,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461797,45.54064178466797,0.3211974501609802,12.628276807110295,False,0.0003211974501609802,0.012628276807110294,3520.0,500,106.63703155517578,13.034582138061523,1.1038999557495117,61.1644287109375,7.799999713897705,0.09445838630199432,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.005491471849381924,0.0,7.032029316178523e-06
6,1.8600000143051147,7,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461786,45.338558197021484,0.3854369521141052,12.628273948907761,False,0.00038543695211410524,0.012628273948907762,3480.0,500,106.63703155517578,13.02841567993164,1.1038999557495117,61.36646270751953,7.799999713897705,0.09386210888624191,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.005033849272876978,0.0,8.504219294991344e-06
7,1.8600000143051147,8,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461776,45.13645935058594,0.4496764540672302,12.628271125066437,False,0.00044967645406723025,0.012628271125066436,3450.0,500,106.63703155517578,13.021220207214355,1.1038999557495117,61.56850051879883,7.799999713897705,0.0932709127664566,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.004576226696372032,0.0,1.0018757166108117e-05
8,1.8600000143051147,9,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461766,44.93434143066406,0.5139159560203552,12.628268351374608,False,0.0005139159560203552,0.012628268351374608,3420.0,500,106.63703155517578,13.0129976272583,1.1038999557495117,61.77053451538086,7.799999713897705,0.09268501400947571,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.004084452986717224,0.0,1.1522418390086386e-05
9,1.8600000143051147,10,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461756,44.73221206665039,0.5781554579734802,12.628265585269997,False,0.0005781554579734802,0.012628265585269997,3390.0,500,106.63703155517578,13.00374698638916,1.1038999557495117,61.972572326660156,7.799999713897705,0.0921044871211052,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.0036336604971438646,1.6505810607192473e-11,1.2893178791273385e-05
10,1.8600000143051147,11,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461746,44.530067443847656,0.6423949003219604,12.628262891691143,False,0.0006423949003219604,0.012628262891691144,3360.0,500,106.63703155517578,12.99346923828125,1.1038999557495117,62.17460632324219,7.799999713897705,0.09152904152870178,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.0031418867874890566,7.458139661409291e-11,1.4237523828342091e-05
11,1.8600000143051147,12,walker.pedestrian.0004,vehicle.nissan.patrol_2021,45.461737,44.32790756225586,0.7066344022750854,12.628260206415256,False,0.0007066344022750855,0.012628260206415255,3320.0,500,106.63703155517578,12.982162475585938,1.1038999557495117,62.376644134521484,7.799999713897705,0.09095901250839233,-0.00033467926550656557,-89.99999237060547,1.3027551259980896e-11,-0.0027184151113033295,1.4354673005811946e-10,1.5540192180196755e-05
