collision,total_steps,request_simulat_time,fixed_delta_seconds,current_simulat_time,stop_run,e_veloc,TTC,ttc_less_than_200,TTC_threshold,pedestrian_velocity,SAW_WALKER_cam1,SAW_WALKER_cam4,delay_count,delay_threshold,GLOBAL_BRAKE,apply_brake,new_velocity,frame_number
NA,375,6,0.016,1,false,65.819369,1440.0,False,500,3.26,1,0,0,0,0,0,N/A,0
NA,375,6,0.016,2,false,65.233048,1430.0,False,500,3.26,1,0,0,0,0,0,N/A,1
NA,375,6,0.016,3,false,65.04508,1420.0,False,500,3.26,1,0,0,0,0,0,N/A,2
NA,375,6,0.016,4,false,65.013101,1390.0,False,500,3.26,1,0,0,0,0,0,N/A,3
NA,375,6,0.016,5,false,65.009086,1370.0,False,500,3.26,1,0,0,0,0,0,N/A,4
NA,375,6,0.016,6,false,65.008935,1350.0,False,500,3.26,1,0,0,0,0,0,N/A,5
NA,375,6,0.016,7,false,65.00894,1330.0,False,500,3.26,1,0,0,0,0,0,N/A,6
NA,375,6,0.016,8,false,65.008943,1310.0,False,500,3.26,1,0,0,0,0,0,N/A,7
NA,375,6,0.016,9,false,65.008944,1290.0,False,500,3.26,1,0,0,0,0,0,N/A,8
NA,375,6,0.016,10,false,65.008949,1270.0,False,500,3.26,1,0,0,0,0,0,N/A,9
NA,375,6,0.016,11,false,65.024361,1250.0,False,500,3.26,1,0,0,0,0,0,N/A,10
NA,375,6,0.016,12,false,65.072688,1230.0,False,500,3.26,1,0,0,0,0,0,N/A,11
NA,375,6,0.016,13,false,65.104099,1210.0,False,500,3.26,1,0,0,0,0,0,N/A,12
NA,375,6,0.016,14,false,65.106588,1180.0,False,500,3.26,1,0,0,0,0,0,N/A,13
NA,375,6,0.016,15,false,65.10666,1170.0,False,500,3.26,1,0,0,0,0,0,N/A,14
NA,375,6,0.016,16,false,65.106651,1150.0,False,500,3.26,1,0,0,0,0,0,N/A,15
NA,375,6,0.016,17,false,65.106652,1130.0,False,500,3.26,1,0,0,0,0,0,N/A,16
NA,375,6,0.016,18,false,65.106628,1110.0,False,500,3.26,1,0,0,0,0,0,N/A,17
