trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,False,,,0.9999182964671504,True,True,False,,,,54.42853899067047
2,False,,False,,,,False,False,False,,,,
3,True,86.0,False,,,0.38022557642019683,True,True,False,,,,35.347025571372164
4,True,85.0,False,,,0.9981053993397836,True,True,False,,,,50.023600001935385
5,True,178.0,False,,,0.9995328919359173,True,True,False,,,,51.998998377019625
6,True,200.0,False,,,0.9990995919695557,True,True,False,,,,51.08174832357906
7,False,,False,,,,False,False,False,,,,
8,False,,False,,,,False,False,False,,,,
9,False,,False,,,,False,False,False,,,,
10,False,,False,,,,False,False,False,,,,
11,False,,False,,,,False,False,False,,,,
12,True,80.0,False,,,0.9698049896045949,True,True,False,,,,46.55920338974945
13,False,,False,,,,False,False,False,,,,
14,True,113.0,False,,,0.9999998393668329,True,True,False,,,,62.8725385214567
15,True,186.0,False,,,0.12188106802666254,True,False,True,,,,16.071398477261
16,False,,False,,,,False,False,False,,,,
17,True,165.0,False,,,0.3674340681163789,True,True,False,,,,34.83839102277099
18,True,286.0,False,,,0.3513764165873773,True,True,False,,,,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,,,,12.824259451287656
20,False,,False,,,,False,False,False,,,,
21,False,,False,,,,False,False,False,,,,
22,False,,False,,,,False,False,False,,,,
23,False,,False,,,,False,False,False,,,,
24,True,117.0,False,,,0.9996853239580679,True,True,False,,,,52.56996082050412
25,False,,False,,,,False,False,False,,,,
26,True,133.0,False,,,0.982649398832145,True,True,False,,,,47.25516816041709
27,True,158.0,False,,,0.8018411691957135,True,True,False,,,,43.10511124362019
28,True,113.0,False,,,0.11965310761485104,True,False,True,,,,20.736051330993007
29,True,132.0,False,,,0.9999719828940424,True,True,False,,,,55.87196860880444
30,True,204.0,False,,,0.4947586530858833,True,True,False,,,,38.86189302413074
31,False,,False,,,,False,False,False,,,,
32,False,,False,,,,False,False,False,,,,
33,False,,False,,,,False,False,False,,,,
34,False,,False,,,,False,False,False,,,,
35,False,,False,,,,False,False,False,,,,
36,False,,False,,,,False,False,False,,,,
37,True,230.0,False,,,0.1776034356129773,True,False,True,,,,26.9906872295197
38,False,,False,,,,False,False,False,,,,
39,False,,False,,,,False,False,False,,,,
40,False,,False,,,,False,False,False,,,,
41,True,115.0,False,,,0.742424627292138,True,True,False,,,,42.25232771011036
42,False,,False,,,,False,False,False,,,,
43,True,197.0,False,,,0.9988688104053909,True,True,False,,,,50.74973317194964
44,False,,False,,,,False,False,False,,,,
45,False,,False,,,,False,False,False,,,,
46,True,167.0,False,,,0.2666927171551463,True,True,False,,,,30.099578511248744
47,False,,False,,,,False,False,False,,,,
48,True,194.0,False,,,0.9766892239485725,True,True,False,,,,46.88869737009181
49,False,,False,,,,False,False,False,,,,
50,False,,False,,,,False,False,False,,,,
51,False,,False,,,,False,False,False,,,,
52,False,,False,,,,False,False,False,,,,
53,False,,False,,,,False,False,False,,,,
54,False,,False,,,,False,False,False,,,,
55,True,305.0,False,,,0.12265441881524508,True,False,True,,,,15.669964851345808
56,False,,False,,,,False,False,False,,,,
57,True,128.0,False,,,0.9999851933423528,True,True,False,,,,56.7940595064988
58,True,67.0,False,,,0.13338267353660616,True,False,True,,,,11.620494673990056
59,True,84.0,False,,,0.9957542028371305,True,True,False,,,,48.95738987894967
60,True,107.0,False,,,0.34762023666236286,True,True,False,,,,34.04332761912648
61,False,,False,,,,False,False,False,,,,
62,True,129.0,False,,,0.8685056483966065,True,True,False,,,,44.16566673013337
63,False,,False,,,,False,False,False,,,,
64,True,73.0,False,,,0.9996407151221245,True,True,False,,,,52.376024989065705
65,True,207.0,False,,,0.13599219184632616,True,False,True,,,,10.841943536096187
66,False,,False,,,,False,False,False,,,,
67,False,,False,,,,False,False,False,,,,
68,True,173.0,False,,,0.6199284918171404,True,True,False,,,,40.61942270535822
69,True,81.0,False,,,0.8550671468362916,True,True,False,,,,43.94050174453789
70,True,85.0,False,,,0.958933528599575,True,True,False,,,,46.153112679980204
71,True,110.0,False,,,0.9725213005077448,True,True,False,,,,46.67992968497628
72,False,,False,,,,False,False,False,,,,
73,False,,False,,,,False,False,False,,,,
74,False,,False,,,,False,False,False,,,,
75,False,,False,,,,False,False,False,,,,
76,True,94.0,False,,,0.9030980233008163,True,True,False,,,,44.796869074225945
77,False,,False,,,,False,False,False,,,,
78,True,106.0,False,,,0.9967006193342377,True,True,False,,,,49.28078923606883
79,False,,False,,,,False,False,False,,,,
80,True,241.0,False,,,0.19106980039133958,True,False,True,,,,27.54447310300781
81,True,168.0,False,,,0.9874457698955732,True,True,False,,,,47.642787550665474
82,False,,False,,,,False,False,False,,,,
83,False,,False,,,,False,False,False,,,,
84,False,,False,,,,False,False,False,,,,
85,False,,False,,,,False,False,False,,,,
86,False,,False,,,,False,False,False,,,,
87,True,167.0,False,,,0.9999869700898736,True,True,False,,,,56.97522870307782
88,False,,False,,,,False,False,False,,,,
89,True,106.0,False,,,0.9111632673072104,True,True,False,,,,44.9568473156497
90,True,183.0,False,,,0.9999930890454968,True,True,False,,,,57.819172452605635
91,True,128.0,False,,,0.9999013251007822,True,True,False,,,,54.18688590196231
92,False,,False,,,,False,False,False,,,,
93,True,327.0,False,,,0.12629967001155817,True,False,True,,,,14.065503541208793
94,False,,False,,,,False,False,False,,,,
95,False,,False,,,,False,False,False,,,,
96,False,,False,,,,False,False,False,,,,
97,True,203.0,False,,,0.9995613592206598,True,True,False,,,,52.08754731283735
98,False,,False,,,,False,False,False,,,,
99,False,,False,,,,False,False,False,,,,
100,False,,False,,,,False,False,False,,,,
101,False,,False,,,,False,False,False,,,,
102,True,96.0,False,,,0.999257493913986,True,True,False,,,,51.35788658750433
103,False,,False,,,,False,False,False,,,,
104,True,265.0,False,,,0.22656972910160267,True,True,False,,,,28.794806938995215
105,False,,False,,,,False,False,False,,,,
106,False,,False,,,,False,False,False,,,,
107,True,317.0,False,,,0.12321844309034968,True,False,True,,,,15.39454309862796
108,True,74.0,False,,,0.36192796254974047,True,True,False,,,,34.60874615049305
109,True,127.0,False,,,0.38102745889950196,True,True,False,,,,35.382635869776664
110,False,,False,,,,False,False,False,,,,
111,False,,False,,,,False,False,False,,,,
112,True,152.0,False,,,0.32492616160621646,True,True,False,,,,33.08778242754395
113,False,,False,,,,False,False,False,,,,
114,False,,False,,,,False,False,False,,,,
115,True,242.0,False,,,0.20233743738115983,True,True,False,,,,27.95208574963727
116,True,186.0,False,,,0.9985396609430075,True,True,False,,,,50.384659549103915
117,True,187.0,False,,,0.1322287675556283,True,False,True,,,,11.98154639347639
118,True,248.0,False,,,0.3728495138635276,True,True,False,,,,35.05785333100211
119,False,,False,,,,False,False,False,,,,
120,False,,False,,,,False,False,False,,,,
121,False,,False,,,,False,False,False,,,,
122,True,206.0,False,,,0.12591281819610123,True,False,True,,,,14.219705850410149
123,False,,False,,,,False,False,False,,,,
124,True,195.0,False,,,0.12822301114465218,True,False,True,,,,13.338262508464116
125,False,,False,,,,False,False,False,,,,
126,True,213.0,False,,,0.9613975088885933,True,True,False,,,,46.236631913039645
127,True,67.0,False,,,0.13273649557027234,True,False,True,,,,11.821286232685987
128,False,,False,,,,False,False,False,,,,
129,True,109.0,False,,,0.14861229686625899,True,False,True,,,,24.513098542197724
130,False,,False,,,,False,False,False,,,,
131,False,,False,,,,False,False,False,,,,
132,False,,False,,,,False,False,False,,,,
133,False,,False,,,,False,False,False,,,,
