trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,121.0,1.0,0.9999182964671504,False,True,False,False,False,0.1697530746459961,4.13545036315918,55.992429956573076,54.42853899067047
2,False,,False,,,,False,False,False,False,False,,,,
3,True,86.0,True,85.0,1.0,0.3802255764201985,False,True,False,False,False,7.039676189422607,7.050876140594482,36.17463591829652,35.347025571372164
4,True,85.0,False,,,0.9981053993397834,True,True,False,False,True,,,,50.023600001935385
5,True,178.0,True,53.0,125.0,0.9995328919359173,False,True,False,False,False,4.926579475402832,4.936407089233398,64.66407917451635,51.998998377019625
6,True,200.0,False,,,0.9990995919695558,True,True,False,False,True,,,,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,False,,,,False,False,False,False,False,,,,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,79.0,1.0,0.969804989604594,False,True,False,False,False,-0.6825534105300903,6.510619640350342,47.93152476580094,46.55920338974945
13,False,,False,,,,False,False,False,False,False,,,,
14,True,113.0,True,64.0,49.0,0.9999998393668329,False,True,False,False,False,6.628888130187988,6.828617572784424,74.94877185425145,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,True,40.0,,,False,False,False,True,False,4.415430545806885,4.4624481201171875,71.33985014274361,
17,True,165.0,True,19.0,146.0,0.3674340681163826,False,True,False,False,False,2.1463866233825684,2.272416353225708,48.40783969780575,34.83839102277099
18,True,286.0,True,115.0,171.0,0.35137641658737906,False,True,False,False,False,7.1487555503845215,7.158778667449951,45.36606294462402,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,False,False,,,,12.824259451287656
20,False,,False,,,,False,False,False,False,False,,,,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,False,,,,False,False,False,False,False,,,,
23,False,,False,,,,False,False,False,False,False,,,,
24,True,117.0,True,76.0,41.0,0.9996853239580679,False,True,False,False,False,4.983730792999268,5.048999786376953,66.87761357989878,52.56996082050412
25,False,,False,,,,False,False,False,False,False,,,,
26,True,133.0,True,117.0,16.0,0.9826493988321447,False,True,False,False,False,4.98161506652832,5.011510372161865,54.495422403663326,47.25516816041709
27,True,158.0,True,95.0,63.0,0.80184116919571,False,True,False,False,False,5.062267303466797,5.075567245483398,54.975266858691455,43.10511124362019
28,True,113.0,False,,,0.11965310761485104,True,False,True,False,False,,,,20.736051330993007
29,True,132.0,True,7.0,125.0,0.9999719828940424,False,True,False,False,False,2.9640660285949707,3.0001041889190674,65.81812812246204,55.87196860880444
30,True,204.0,True,79.0,125.0,0.4947586530858823,False,True,False,False,False,5.2998576164245605,5.302285671234131,51.199831044803894,38.86189302413074
31,False,,False,,,,False,False,False,False,False,,,,
32,False,,False,,,,False,False,False,False,False,,,,
33,False,,False,,,,False,False,False,False,False,,,,
34,False,,False,,,,False,False,False,False,False,,,,
35,False,,True,120.0,,,False,False,False,True,False,-0.06147715449333191,0.4234764277935028,50.750293181095024,
36,False,,True,5.0,,,False,False,False,True,False,1.9848964214324951,2.11259126663208,62.5413495606129,
37,True,230.0,True,229.0,1.0,0.17760343561297764,False,False,True,True,False,4.020346641540527,4.488210201263428,27.823284358623077,26.9906872295197
38,False,,False,,,,False,False,False,False,False,,,,
39,False,,False,,,,False,False,False,False,False,,,,
40,False,,False,,,,False,False,False,False,False,,,,
41,True,115.0,True,114.0,1.0,0.7424246272921354,False,True,False,False,False,-2.3358402252197266,7.682392597198486,43.643835957601624,42.25232771011036
42,False,,False,,,,False,False,False,False,False,,,,
43,True,197.0,True,195.0,2.0,0.998868810405391,False,True,False,False,False,5.480670928955078,6.547204494476318,52.32306409643257,50.74973317194964
44,False,,True,0.0,,,False,False,False,True,False,1.4519352912902832,1.8628787994384766,62.98696349942594,
45,False,,False,,,,False,False,False,False,False,,,,
46,True,167.0,True,166.0,1.0,0.26669271715514753,False,True,False,False,False,-5.91702127456665,-5.251614093780518,30.161176774710402,30.099578511248744
47,False,,False,,,,False,False,False,False,False,,,,
48,True,194.0,True,193.0,1.0,0.9766892239485729,False,True,False,False,False,6.2990288734436035,6.695450305938721,47.92165655897117,46.88869737009181
49,False,,False,,,,False,False,False,False,False,,,,
50,False,,False,,,,False,False,False,False,False,,,,
51,False,,False,,,,False,False,False,False,False,,,,
52,False,,False,,,,False,False,False,False,False,,,,
53,False,,False,,,,False,False,False,False,False,,,,
54,False,,False,,,,False,False,False,False,False,,,,
55,True,305.0,False,,,0.12265441881524508,True,False,True,False,False,,,,15.669964851345808
56,False,,True,38.0,,,False,False,False,True,False,3.8194451332092285,3.836012601852417,51.52178010826358,
57,True,128.0,True,88.0,40.0,0.9999851933423528,False,True,False,False,False,7.095623016357422,7.114181995391846,70.15349329515057,56.7940595064988
58,True,67.0,False,,,0.13338267353660582,True,False,True,False,False,,,,11.620494673990056
59,True,84.0,True,19.0,65.0,0.9957542028371305,False,True,False,False,False,6.98738956451416,6.998847007751465,63.75502459054773,48.95738987894967
60,True,107.0,True,55.0,52.0,0.3476202366623632,False,True,False,False,False,5.371845722198486,5.405877590179443,54.34406840934131,34.04332761912648
61,False,,False,,,,False,False,False,False,False,,,,
62,True,129.0,True,54.0,75.0,0.8685056483966046,False,True,False,False,False,6.972545146942139,7.11428165435791,58.57429408018117,44.16566673013337
63,False,,False,,,,False,False,False,False,False,,,,
64,True,73.0,True,16.0,57.0,0.9996407151221245,False,True,False,False,False,6.656622886657715,6.661921977996826,65.22299018619906,52.376024989065705
65,True,207.0,False,,,0.13599219184632672,True,False,True,False,False,,,,10.841943536096187
66,False,,False,,,,False,False,False,False,False,,,,
67,False,,False,,,,False,False,False,False,False,,,,
68,True,173.0,True,34.0,139.0,0.6199284918171413,False,True,False,False,False,0.20042309165000916,0.21127989888191223,55.92456441076907,40.61942270535822
69,True,81.0,True,80.0,1.0,0.8550671468362899,False,True,False,False,False,-1.3333762884140015,5.991404056549072,44.64029291928727,43.94050174453789
70,True,85.0,True,83.0,2.0,0.9589335285995764,False,True,False,False,False,4.337108135223389,4.396717548370361,48.173707262971064,46.153112679980204
71,True,110.0,False,,,0.9725213005077447,True,True,False,False,True,,,,46.67992968497628
72,False,,True,2.0,,,False,False,False,True,False,2.0744009017944336,2.124202251434326,43.906067996982785,
73,False,,False,,,,False,False,False,False,False,,,,
74,False,,False,,,,False,False,False,False,False,,,,
75,False,,False,,,,False,False,False,False,False,,,,
76,True,94.0,True,93.0,1.0,0.9030980233008172,False,True,False,False,False,3.7518482208251953,5.640726566314697,46.14010358313045,44.796869074225945
77,False,,False,,,,False,False,False,False,False,,,,
78,True,106.0,False,,,0.9967006193342378,True,True,False,False,True,,,,49.28078923606883
79,False,,False,,,,False,False,False,False,False,,,,
80,True,241.0,True,240.0,1.0,0.1910698003913407,False,False,True,True,False,5.590565204620361,5.780182361602783,28.64083688882552,27.54447310300781
81,True,168.0,True,167.0,1.0,0.9874457698955728,False,True,False,False,False,-0.8810030221939087,8.214510917663574,49.10537772455381,47.642787550665474
82,False,,False,,,,False,False,False,False,False,,,,
83,False,,False,,,,False,False,False,False,False,,,,
84,False,,False,,,,False,False,False,False,False,,,,
85,False,,False,,,,False,False,False,False,False,,,,
86,False,,False,,,,False,False,False,False,False,,,,
