trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,47.0,75.0,0.9999182964671504,False,True,False,False,False,5.112656593322754,5.121858596801758,66.73981725764695,54.42853899067047
2,False,,True,23.0,,,False,False,False,True,False,3.1334428787231445,3.4149184226989746,48.42009409207476,
3,True,86.0,True,27.0,59.0,0.3802255764201985,False,True,False,False,False,6.450814723968506,6.497861385345459,49.93150921311313,35.347025571372164
4,True,85.0,True,23.0,62.0,0.9981053993397834,False,True,False,False,False,5.136670112609863,5.139441013336182,59.550187686494766,50.023600001935385
5,True,178.0,True,40.0,138.0,0.9995328919359173,False,True,False,False,False,2.609189510345459,2.6222453117370605,64.66412257385748,51.998998377019625
6,True,200.0,True,24.0,176.0,0.9990995919695558,False,True,False,False,False,3.112575054168701,3.133106231689453,62.13486387150521,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,True,23.0,,,False,False,False,True,False,3.002894163131714,3.1979568004608154,44.92402820167804,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,25.0,55.0,0.969804989604594,False,True,False,False,False,4.862462520599365,4.874584674835205,63.27604459558067,46.55920338974945
13,False,,True,178.0,,,False,False,False,True,False,3.185511827468872,3.5212697982788086,58.86951187137745,
14,True,113.0,True,32.0,81.0,0.9999998393668329,False,True,False,False,False,5.521358013153076,5.535491466522217,74.94886447992778,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,True,46.0,,,False,False,False,True,False,4.869387149810791,4.9086408615112305,71.33984035681598,
17,True,165.0,True,99.0,66.0,0.3674340681163826,False,True,False,False,False,7.03708028793335,7.061460494995117,48.407319642365565,34.83839102277099
18,True,286.0,True,27.0,259.0,0.35137641658737906,False,True,False,False,False,2.9008262157440186,2.9306483268737793,45.36489909487454,34.203558610995515
19,True,190.0,True,21.0,169.0,0.12967806807863946,False,False,True,True,False,3.5965614318847656,3.8276448249816895,44.808375671820464,12.824259451287656
20,False,,False,,,,False,False,False,False,False,,,,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,False,,,,False,False,False,False,False,,,,
23,False,,True,19.0,,,False,False,False,True,False,3.8401520252227783,3.843210220336914,74.33011151660828,
24,True,117.0,True,28.0,89.0,0.9996853239580679,False,True,False,False,False,5.06410026550293,5.068909645080566,66.92075677341475,52.56996082050412
25,False,,False,,,,False,False,False,False,False,,,,
26,True,133.0,True,0.0,133.0,0.9826493988321447,False,True,False,False,False,3.3069701194763184,3.7649381160736084,59.74900017676041,47.25516816041709
27,True,158.0,True,95.0,63.0,0.80184116919571,False,True,False,False,False,5.532520294189453,5.532797813415527,54.975266858691455,43.10511124362019
28,True,113.0,False,,,0.11965310761485104,True,False,True,False,False,,,,20.736051330993007
29,True,132.0,True,40.0,92.0,0.9999719828940424,False,True,False,False,False,4.804069995880127,4.839051246643066,65.81795868296777,55.87196860880444
30,True,204.0,True,44.0,160.0,0.4947586530858823,False,True,False,False,False,3.632136106491089,3.8618264198303223,51.19995468348524,38.86189302413074
31,False,,True,2.0,,,False,False,False,True,False,2.9123404026031494,2.9534366130828857,66.51187274781587,
32,False,,False,,,,False,False,False,False,False,,,,
33,False,,True,11.0,,,False,False,False,True,False,2.969449758529663,2.9743192195892334,65.43578038506556,
34,False,,False,,,,False,False,False,False,False,,,,
35,False,,False,,,,False,False,False,False,False,,,,
36,False,,True,1.0,,,False,False,False,True,False,3.1688854694366455,3.1857190132141113,62.598768835341154,
37,True,230.0,True,223.0,7.0,0.17760343561297764,False,False,True,True,False,5.7492523193359375,6.062526702880859,30.180791525791705,26.9906872295197
38,False,,False,,,,False,False,False,False,False,,,,
39,False,,False,,,,False,False,False,False,False,,,,
40,False,,False,,,,False,False,False,False,False,,,,
41,True,115.0,True,34.0,81.0,0.7424246272921354,False,True,False,False,False,5.033687114715576,5.0778279304504395,56.578658931780325,42.25232771011036
42,False,,False,,,,False,False,False,False,False,,,,
43,True,197.0,True,30.0,167.0,0.998868810405391,False,True,False,False,False,3.2698018550872803,3.4085965156555176,61.23229288184851,50.74973317194964
44,False,,True,1.0,,,False,False,False,True,False,3.2397360801696777,3.2986910343170166,62.98695633598565,
45,False,,True,92.0,,,False,False,False,True,False,-0.2551579475402832,0.8503384590148926,45.99992851555166,
46,True,167.0,False,,,0.26669271715514753,True,True,False,False,True,,,,30.099578511248744
47,False,,False,,,,False,False,False,False,False,,,,
