trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,26.0,96.0,0.9999182964671504,False,True,False,False,False,3.5486042499542236,3.747317314147949,66.74001814004005,54.42853899067047
2,False,,False,,,,False,False,False,False,False,,,,
3,True,86.0,True,30.0,56.0,0.3802255764201985,False,True,False,False,False,5.352750778198242,5.393558979034424,49.931459121787576,35.347025571372164
4,True,85.0,True,25.0,60.0,0.9981053993397834,False,True,False,False,False,5.364911079406738,5.398743152618408,59.55013738262184,50.023600001935385
5,True,178.0,True,83.0,95.0,0.9995328919359173,False,True,False,False,False,5.532855987548828,5.533254623413086,64.66400261608686,51.998998377019625
6,True,200.0,True,71.0,129.0,0.9990995919695558,False,True,False,False,False,4.942089080810547,4.967282772064209,62.13467620904388,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,False,,,,False,False,False,False,False,,,,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,21.0,59.0,0.969804989604594,False,True,False,False,False,5.796101093292236,5.864073276519775,63.276143926358955,46.55920338974945
13,False,,False,,,,False,False,False,False,False,,,,
14,True,113.0,True,63.0,50.0,0.9999998393668329,False,True,False,False,False,5.944972038269043,5.964701175689697,74.94876818395701,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,True,54.0,,,False,False,False,True,False,4.126046657562256,4.127460479736328,71.34223158973275,
17,True,165.0,True,55.0,110.0,0.3674340681163826,False,True,False,False,False,4.800628185272217,4.808326244354248,48.40746888936871,34.83839102277099
18,True,286.0,True,84.0,202.0,0.35137641658737906,False,True,False,False,False,5.11146879196167,5.144099235534668,45.36613452176906,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,False,False,,,,12.824259451287656
20,False,,False,,,,False,False,False,False,False,,,,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,False,,,,False,False,False,False,False,,,,
23,False,,True,73.0,,,False,False,False,True,False,4.335442066192627,4.343489170074463,74.32995068466526,
24,True,117.0,True,74.0,43.0,0.9996853239580679,False,True,False,False,False,6.218315601348877,6.234225749969482,66.87033886374157,52.56996082050412
25,False,,False,,,,False,False,False,False,False,,,,
